N,Densidade,Estrutura,Operacao,Tempo,Memoria
1000,1.0,Est. 1 - Hash,Inserir Elemento,1.5020370483398438e-05,0
1000,1.0,Est. 1 - Hash,Transposta,0.010685443878173828,0
1000,1.0,Est. 1 - Hash,Soma,0.04353642463684082,0
1000,1.0,Est. 1 - Hash,Mult Escalar,0.06870436668395996,0
1000,1.0,Est. 1 - Hash,Mult Matriz,0.4106173515319824,0
1000,1.0,Est. 2 - Heap,Uso de Memória,0.0,640000
1000,1.0,Est. 2 - Heap,Acessar Elemento,4.076957702636719e-05,0
1000,1.0,Est. 2 - Heap,Inserir Elemento,7.295608520507812e-05,0
1000,1.0,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
1000,1.0,Est. 2 - Heap,Soma,0.12929773330688477,0
1000,1.0,Est. 2 - Heap,Mult Escalar,0.0613253116607666,0
1000,1.0,Est. 2 - Heap,Mult Matriz,0.6473567485809326,0
1000,5.0,Tradicional,Uso de Memória,0.0,8864856
1000,5.0,Tradicional,Acessar Elemento,9.5367431640625e-06,0
1000,5.0,Tradicional,Inserir Elemento,4.5299530029296875e-06,0
1000,5.0,Tradicional,Transposta,0.06401991844177246,0
1000,5.0,Tradicional,Soma,0.07275676727294922,0
1000,5.0,Tradicional,Mult Escalar,0.05975198745727539,0
1000,5.0,Tradicional,Mult Matriz,0.0,0
1000,5.0,Est. 1 - Hash,Uso de Memória,0.0,6601968
1000,5.0,Est. 1 - Hash,Acessar Elemento,1.7642974853515625e-05,0
1000,5.0,Est. 1 - Hash,Inserir Elemento,2.09808349609375e-05,0
1000,5.0,Est. 1 - Hash,Transposta,0.15916752815246582,0
1000,5.0,Est. 1 - Hash,Soma,0.5199048519134521,0
1000,5.0,Est. 1 - Hash,Mult Escalar,0.2427680492401123,0
1000,5.0,Est. 1 - Hash,Mult Matriz,12.048053503036499,0
1000,5.0,Est. 2 - Heap,Uso de Memória,0.0,3200000
1000,5.0,Est. 2 - Heap,Acessar Elemento,5.340576171875e-05,0
1000,5.0,Est. 2 - Heap,Inserir Elemento,8.153915405273438e-05,0
1000,5.0,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
1000,5.0,Est. 2 - Heap,Soma,0.6509952545166016,0
1000,5.0,Est. 2 - Heap,Mult Escalar,0.3082892894744873,0
1000,5.0,Est. 2 - Heap,Mult Matriz,7.717150926589966,0
1000,10.0,Tradicional,Uso de Memória,0.0,8864856
1000,10.0,Tradicional,Acessar Elemento,1.049041748046875e-05,0
1000,10.0,Tradicional,Inserir Elemento,4.76837158203125e-06,0
1000,10.0,Tradicional,Transposta,0.06292843818664551,0
1000,10.0,Tradicional,Soma,0.07315969467163086,0
1000,10.0,Tradicional,Mult Escalar,0.05875086784362793,0
1000,10.0,Tradicional,Mult Matriz,0.0,0
1000,10.0,Est. 1 - Hash,Uso de Memória,0.0,13248112
1000,10.0,Est. 1 - Hash,Acessar Elemento,1.6927719116210938e-05,0
1000,10.0,Est. 1 - Hash,Inserir Elemento,1.621246337890625e-05,0
1000,10.0,Est. 1 - Hash,Transposta,0.27662158012390137,0
1000,10.0,Est. 1 - Hash,Soma,1.2672040462493896,0
1000,10.0,Est. 1 - Hash,Mult Escalar,0.2650761604309082,0
1000,10.0,Est. 1 - Hash,Mult Matriz,49.09845542907715,0
1000,10.0,Est. 2 - Heap,Uso de Memória,0.0,6400000
1000,10.0,Est. 2 - Heap,Acessar Elemento,6.031990051269531e-05,0
1000,10.0,Est. 2 - Heap,Inserir Elemento,8.702278137207031e-05,0
